Sat Sep 12 20:20:55 Mongo DB : starting : pid = 5831 port = 27017 dbpath = data master = 0 slave = 0  32-bit 

** NOTE: when using MongoDB 32 bit, you are limited to about 2 gigabytes of data
**       see http://blog.mongodb.org/post/137788967/32-bit-limitations for more

Sat Sep 12 20:23:11 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:11 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:11 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:11 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:11 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:11 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:11 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:12 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:12 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:12 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:12 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:12 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:12 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:12 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:12 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:12 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:12 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:12 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:12 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:12 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:12 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:12 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:12 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:13 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:13 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:13 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:13 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:13 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:13 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:13 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:13 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:13 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:13 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:13 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:13 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:13 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:13 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:13 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:13 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:13 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:13 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:13 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:14 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:14 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:14 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:14 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:14 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:14 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:14 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:14 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:14 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:14 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:14 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:14 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:14 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:14 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:14 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:14 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:14 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:14 insert netbeams.SondeDataContainer 0ms
Sat Sep 12 20:23:14 insert netbeams.SondeDataContainer 0ms
